Institution,Lat,Long
Bellevue Hospital Center,40.7404588,-73.9783978
Henry J. Carter Specialty Hospital and Nursing Facility,40.80420784,-73.93887031
Coler-Goldwater Specialty Hospital,40.7713295,-73.94056747
Gracie Square Hospital,40.77072741,-73.94887852
Harlem Hospital Center,40.81508958,-73.93714839
Hospital for Special Surgery,40.76605463,-73.95001682
Lenox Hill Hospital,40.77477495,-73.95685809
"Manhattan Eye, Ear and Throat Hospital",40.76465705,-73.95829404
Manhattan Psychiatric Center,40.79020272,-73.92776368
Memorial Sloan Kettering Cancer Center,40.76551986,-73.95182343
Metropolitan Hospital Center,40.78547346,-73.94225357
Mount Sinai Beth Israel,40.73400015,-73.97964669
Mount Sinai Hospital,40.79072787,-73.94708102
Mount Sinai Morningside,40.80611572,-73.95759665
Mount Sinai West,40.77054221,-73.98276809
NewYork–Presbyterian/Columbia University Medical Center,40.84340973,-73.94617765
NewYork–Presbyterian/Lower Manhattan Hospital,40.71104028,-74.00278561
NewYork-Presbyterian/Weill Cornell Medical Center,40.76511987,-73.95046747
NewYork-Presbyterian Alexandra Cohen Hospital for Women and Newborns,40.76709977,-73.94906042
NewYork-Presbyterian David H. Koch Center,40.76552997,-73.95329661
Morgan Stanley Children’s Hospital of NewYork-Presbyterian,40.84039631,-73.93953337
Sloane Hospital for Women at NewYork-Presbyterian Morgan Stanley Children's Hospital,40.84167186,-73.93940102
NewYork-Presbyterian Komansky Children's Hospital,40.76541924,-73.95113669
New York Eye and Ear Infirmary of Mount Sinai,40.73247005,-73.98205123
NYU Langone Orthopedic Hospital,40.73499383,-73.98075472
NYU Langone Medical Center,40.74463506,-73.97262044
Rockefeller Institute Hospital,40.76208211,-73.95379417
Hospital for Joint Diseases Orthopedic Institute,40.73492176,-73.97905018
Metropolitan Hospital Center,40.78594733,-73.94335534
Tisch Hospital,40.74300935,-73.97107548
Hassenfeld Children’s Hospital at NYU Langone,40.74419123,-73.96875158
Mount Sinai Kravis Children's Hospital,40.7907443,-73.95091296
MSK Pediatric Day Hospital,40.76521434,-73.95494054
Lenox Health Greenwich Village,40.73851714,-73.9971754
